"","recid","ASVAB_GS","ASVAB_AR","ASVAB_WK","ASVAB_PC","ASVAB_NO","ASVAB_CS","ASVAB_AI","ASVAB_SI","ASVAB_MK","ASVAB_MC","ASVAB_EI","ASVAB_AO","sex","moth_age_birth","cross_sction","med","race","nsib","nuclear","urban","income","fed","yob","AGE_ASVAB","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"109",415,-1539,-2188,-750,-565,9133,3384,-1418,-1529,-526,-579,-1152,-1645,2,33,1,12,4,2,1,1,160.917892456055,14,1981,18,11,12,13,14,15,16,17,17,17,17,17,17,0,3
"110",425,44,979,579,1063,22902,10611,-1218,-1497,1117,59,-61,-31,2,26,1,12,4,2,1,1,105.133018493652,16,1982,17,11,12,13,14,15,16,17,18,18,18,18,0,0,3
"111",429,520,76,121,221,9448,7041,-565,-150,-1335,-179,232,476,1,20,1,12,4,2,1,1,32.6863555908203,11,1981,18,9,9,9,9,9,9,9,9,9,9,9,9,0,3
"112",432,-820,-687,-864,-1394,13897,4588,-1690,-866,283,-133,-1548,-516,1,19,1,16,2,3,0,1,80.1170654296875,NA,1981,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
"113",434,323,-80,203,-1858,13582,3706,-1867,-1573,-290,-663,-1785,-1418,1,30,1,12,4,2,0,1,80,16,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"114",454,-298,35,-180,-165,19943,5238,-1025,-555,116,315,-1005,13,1,30,1,6,2,2,0,1,15,NA,1982,17,11,12,13,13,13,13,13,13,13,13,13,0,0,3
"115",456,-59,114,125,-81,17896,4764,-1113,-1043,-292,-364,212,160,1,20,1,12,2,4,0,1,1.94503033161163,3,1983,16,11,12,13,14,15,16,16,16,16,17,0,0,0,3
"116",471,-841,-1492,-932,-733,11674,3457,-640,-1759,-140,-2194,-2601,-1343,1,23,1,3,2,4,1,1,24.6740760803223,6,1980,19,11,11,11,11,11,11,11,11,11,11,11,11,11,3
"117",472,-620,-898,-662,-536,17123,-1544,-2227,-951,96,-323,-1669,-1765,2,25,1,3,2,4,1,1,53.4883346557617,6,1983,16,11,12,13,14,14,14,15,16,17,17,0,0,0,3
"118",483,1046,1216,1042,1338,27010,11352,-886,-429,1718,415,-12,811,1,26,1,13,2,2,0,1,50.6710510253906,NA,1980,19,11,12,13,14,15,16,17,18,19,19,19,19,19,3
"119",484,-727,-171,-153,348,19934,8372,-1834,-1002,927,-141,-891,275,2,29,1,13,2,2,0,1,38.3050003051758,NA,1982,17,11,12,13,14,15,16,17,17,17,17,17,0,0,3
"120",486,-129,187,1113,471,34106,11682,-1219,-1030,1295,-178,-135,454,2,24,1,14,4,2,1,1,80.1081085205078,12,1980,19,11,12,13,14,15,16,16,17,18,19,19,19,19,3
"121",488,-701,-691,-702,-713,20436,6760,-774,-988,-477,-315,-790,-555,2,26,1,14,4,2,0,1,36.4747200012207,10,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"122",490,622,1132,1546,676,28350,5379,-687,-615,1317,149,96,283,1,25,1,17,3,2,1,1,48.3182754516602,17,1982,17,10,11,12,13,13,14,15,16,16,16,16,0,0,3
